label,text
Cervical Spondylosis,"Along with a persistent cough, weakness in my arms and legs, and severe back pain, I've been having a lot of trouble. I've experienced issues with vertigo and balance loss, and my neck is hurting."
Hypertension,"I was out shopping when I started feeling a headache, chest pain, and dizziness. It's been hard for me to focus and concentrate on my tasks since then."
Endometriosis,"There is a persistent issue with pelvic pain, and I'm concerned."
Cervical Spondylosis,"There is a persistent issue with fever, and I'm concerned."
ALS,The limb weakness is affecting my daily life significantly.
Hiv/Aids,"There is a persistent issue with pain, and I'm concerned."
Typhoid,"I have developed diarrhea. It is accompanied by severe pain in my belly area. I don't feel like eating anything, and most of the time, I have a mild headache."
Chicken Pox,"Whenever I rest, the fatigue seems to intensify."
Graves' Disease,"Whenever I rest, the irregular heartbeat seems to intensify."
ALS,"Lately, I noticed difficulty swallowing, which is unusual for me."
Typhoid,The abdominal pain has been frequent and really painful. Constipation and vomiting have also occurred. I'm quite worried about my health.
Ehlers-Danlos Syndrome,"Lately, I noticed joint hypermobility, which is unusual for me."
Parkinson's Disease,"There is a persistent issue with impaired balance, and I'm concerned."
Graves' Disease,I have goiter and also noticed related problems recently.
Chronic Kidney Disease,I didn’t know anything was wrong until a routine urine test came back abnormal
Graves' Disease,"Lately, I noticed weight loss, which is unusual for me."
Chicken Pox,"Whenever I rest, the fever seems to intensify."
Allergy,"I get symptoms of asthma, such as wheezing and breathing problems. I frequently have headaches and fever. All the time, I feel exhausted."
Varicose Veins,"I've been having pain, and it's been getting worse."
Myasthenia Gravis,"It started with fatigue, but now it's spreading."
Lupus,The fatigue is affecting my daily life significantly.
Typhoid,"I've had a persistent stomach pain for the past week, and it is not healing even with medication. I feel like vomiting and can't eat anything, and because of which I have become extremely weak."
Sjogren's Syndrome,"Lately, I noticed joint pain, which is unusual for me."
Graves' Disease,"Lately, I noticed bulging eyes, which is unusual for me."
Peptic Ulcer Disease,"I unknowingly lose weight and find it difficult to gain weight. To relieve the pain and discomfort I feel, I take antacids. My mouth hurts so much."
Dimorphic Hemorrhoids,I've seen signs of pain along with fatigue.
Sarcoidosis,The shortness of breath is affecting my daily life significantly.
Multiple Sclerosis,"There is a persistent issue with numbness, and I'm concerned."
Urinary Tract Infection,My is pee is dark and often bloody and often has a very unfathomable smell. I have been having temperature fluctuations pretty frequently and often am not able to sleep at night because of this
Typhoid,"I've been having diarrhoea and loose, watery stools many times a day. I've lost my appetite and am always sick. I'm also developing a mild fever. Also, my abdominal part pains a lot. I don't know what the reason behind all of these is."
Cystic Fibrosis,My doctor mentioned that my poor growth could be related to Cystic Fibrosis.
Jaundice,"I've felt really scratchy, nauseated, and worn out. I also had a high fever and lost weight. Both my skin and my urine have become yellow. Additionally, my stomach has been hurting."
Psoriasis,"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable."
Ehlers-Danlos Syndrome,I've seen signs of easy bruising along with fatigue.
Lupus,I have hair loss and also noticed related problems recently.
Cervical Spondylosis,"Whenever I rest, the fever seems to intensify."
Allergy,"My appetite has decreased, and I've been having swallowing issues. I have a sore throat, and my nose has been running."
Diabetes,I'm feeling discomfort due to slow healing wounds.
Diphtheria,My symptoms started mildly but got worse quickly
Sarcoidosis,The swollen lymph nodes is affecting my daily life significantly.
Gastroesophageal Reflux Disease,"Especially after eating, my throat regularly feels like it is burning. I also occasionally get a bitter or sour aftertaste, which makes me feel sick."
Varicose Veins,I'm feeling discomfort due to rash.
Typhoid,There is a distinct pain in my abdominal part. I am not sure what it is. I am also going through constant vomiting and feel nauseous.
Bronchial Asthma,"Whenever I rest, the fatigue seems to intensify."
Cystic Fibrosis,I'm feeling discomfort due to lung infections.
Hiv/Aids,Even small injuries are healing very slowly.
Parkinson's Disease,I have stiffness and also noticed related problems recently.
Malaria,"I've been experiencing severe itching, chills, vomiting, and a high fever. I'm also sweating a lot and have a headache. Nausea and muscle pain have been causing me a lot of discomfort."
Myasthenia Gravis,"It started with muscle weakness, but now it's spreading."
Tuberculosis,"Lately, I noticed weight loss, which is unusual for me."
Pneumonia,I have pain and also noticed related problems recently.
Hepatitis B,"It started with cough, but now it's spreading."
Multiple Sclerosis,"There is a persistent issue with muscle weakness, and I'm concerned."
Impetigo,"Whenever I rest, the fatigue seems to intensify."
Arthritis,"I've been experiencing severe muscular weakness, and my neck has been really stiff. It has been difficult to move about since my joints have swollen. It has been really uncomfortable to walk."
Typhoid,"Lately, I noticed pain, which is unusual for me."
Cervical Spondylosis,The pain is affecting my daily life significantly.
Endometriosis,I'm feeling discomfort due to pelvic pain.
Sarcoidosis,My doctor mentioned that my shortness of breath could be related to Sarcoidosis.
Chronic Kidney Disease,I've been having trouble sleeping and staying asleep through the night
Cushing's Syndrome,"Whenever I rest, the purple stretch marks seems to intensify."
Gastroesophageal Reflux Disease,"I've been having fever, and it's been getting worse."
Raynaud's Disease,I'm feeling discomfort due to color changes in fingers.
Graves' Disease,"It started with bulging eyes, but now it's spreading."
Dengue,I have fatigue and also noticed related problems recently.
Cushing's Syndrome,I've seen signs of thin skin along with fatigue.
Endometriosis,"It started with painful periods, but now it's spreading."
Diabetes,"My mouth and throat are dry. Additionally, I've been growing increasingly hungry. However, I do get periodic bouts of exhaustion."
Acute Lymphoblastic Leukaemia,I’ve lost weight without trying and barely feel hungry these days
Raynaud's Disease,"There is a persistent issue with cold fingers, and I'm concerned."
Hepatitis B,I’ve had itchy skin especially at night.
Hepatitis B,I feel like something is moving inside my belly.
Fungal Infection,"I've been experiencing a lot of itching, which has been accompanied with a rash that appears to be growing worse over time. There are also certain areas of skin that are different colours from the rest, and I've spotted several lumps that resemble little nodes."
Dimorphic Hemorrhoids,"I've been finding it incredibly difficult recently to use the restroom. I can only go sporadically because it hurts so much. My anus and the surrounding region are also quite painful. My anus feels really aggravated, and my stool has been extremely bloody."
Dengue,There is a constant behind my eyes. I have developed red spots on my neck and face and rashes on my arms. My arms and legs pain a lot. . The spots are itchy and uncomfortable and it is worrying me.
Cervical Spondylosis,"Backache, a difficulty breathing, and limb weakness have been bothering me. I have balance and dizzy concerns, and my neck suffers."
Diabetes,"I frequently feel the want to urinate and have these strong cravings. I get woozy and disoriented a lot. Moreover, I have lost my vision considerably"
Pneumonia,"I've been feeling very lousy, with a high temperature, shortness of breath, sweating, chills, and extreme weariness. My heart is beating, and I've been coughing up a lot of brownish phlegm."
